level_0,Platform,Post ID,Post Type,Post Content,Post Timestamp,Date,Weekday Type,Time,Time Periods,Likes,Comments,Shares,Impressions,Reach, Engagement Rate ,Audience Age,Age Group,Audience Gender,Audience Location,Audience Continent,Audience Interests,Campaign ID,Sentiment,Influencer ID
2615,Twitter,f494784c-96c9-4bf1-8df4-ac0a08659ce0,Link,Real matter them agreement ahead member forward.,5/8/2022 3:07,5/8/2022 (Sunday),Weekend,3:07:26,Night,1514,1178,1062,4030,2440,68.44,62,Senior Adults,Female,Guatemala,NorthAmerica,skill,,Positive,3dceb704-d990-461c-a409-320b3525494a
2617,Facebook,0de15cf4-fdd5-4010-ad4d-224c6b4d3eff,Link,Wonder man movie picture kitchen.,12/27/2021 13:19,12/27/2021 (Monday),Weekday,13:19:30,Afternoon,334,271,261,3424,3254,8.71,63,Senior Adults,Other,Finland,Europe,recognize,,Mixed,
2618,Twitter,5789e272-cccf-4487-8d06-133d3708da3d,Link,Attention clearly program organization effort leg.,9/18/2021 2:39,9/18/2021 (Saturday),Weekend,2:39:00,Night,1798,1267,1032,2919,2797,73.64,44,Mature Adults,Male,Netherlands Antilles,NorthAmerica,move,,Mixed,
2619,Instagram,c73a1bb4-87c4-4324-a7df-63ead39386c0,Link,American according hope economic blood continue.,11/10/2021 1:34,11/10/2021 (Wednesday),Weekday,1:34:28,Night,871,671,693,4813,4436,11.34,52,Senior Adults,Other,Ethiopia,Africa,stop,,Mixed,
2620,Twitter,d69e8553-51c1-4514-a8f7-89656ad50893,Video,Move home material camera pick training phone.,2/26/2022 22:03,2/26/2022 (Saturday),Weekend,22:03:18,Night,1733,1628,1740,2476,3959,12.76,51,Senior Adults,Male,Vanuatu,Oceania,under,,Mixed,
2621,Instagram,2a81fb00-cd93-40f6-a807-a0676cf83529,Video,Fire good cup article lead.,2/17/2023 7:40,2/17/2023 (Friday),Weekday,7:40:10,Morning,2074,1385,1310,3884,2770,59.12,19,Adolescent Adults,Other,Lao People's Democratic Republic,Asia,force,,Mixed,
2622,LinkedIn,8145e931-e3e9-4372-b694-d0a67c843305,Video,Watch commercial language hotel their cell.,11/12/2023 0:11,11/12/2023 (Sunday),Weekend,0:11:17,Night,1494,1227,897,2904,1970,104.1,40,Mature Adults,Other,Namibia,Africa,skin,,Negative,
2623,Facebook,61931436-cc20-4eee-bb90-e91b9397995e,Link,Offer drive song.,3/30/2022 0:20,3/30/2022 (Wednesday),Weekday,0:20:37,Night,776,463,366,2581,2036,54.74,27,Adolescent Adults,Female,Norfolk Island,Oceania,part,aad06b69-32d2-4c91-ac85-48eba8af0e5a,Mixed,
2627,Facebook,e8b78deb-39ae-4d7b-9291-0f503b71b543,Video,Reach gun measure leave with specific media fast.,7/5/2023 14:51,7/5/2023 (Wednesday),Weekday,14:51:13,Afternoon,1566,1264,1094,4499,2683,68.65,42,Mature Adults,Male,Azerbaijan,Asia,race,,Mixed,
2628,Facebook,b11578b0-4d95-42df-bf82-a4df091e106a,Video,Back blood today to image.,3/11/2023 23:50,3/11/2023 (Saturday),Weekend,23:50:21,Night,1431,1253,946,2554,2573,55.59,35,Mature Adults,Other,Saint Barthelemy,NorthAmerica,maybe,,Mixed,
2629,Twitter,8a7dc65e-0f0c-49bb-b9f9-bb97eb985165,Link,Summer miss loss foreign carry who never drug.,5/24/2023 21:27,5/24/2023 (Wednesday),Weekday,21:27:04,Evening,1607,1244,945,4966,2843,56.41,38,Mature Adults,Other,Tajikistan,Asia,four,,Positive,
2630,LinkedIn,b1957b24-3796-463d-9bf8-9ae9867db21a,Video,Most result smile forward dark property part.,8/14/2023 4:48,8/14/2023 (Monday),Weekday,4:48:56,Night,1128,1251,833,1319,1936,71.48,39,Mature Adults,Male,Iceland,Europe,thought,,Positive,
2631,LinkedIn,7c03a67e-08ec-4d51-afc1-f97135066218,Video,Decade project state expert.,7/7/2023 7:34,7/7/2023 (Friday),Weekday,7:34:48,Morning,1613,931,910,3801,1814,103.94,53,Senior Adults,Female,Micronesia,Oceania,fight,,Neutral,
2632,Twitter,4cb7ca1c-2d81-4d03-b991-02ed185a7054,Link,Across college student individual.,11/14/2023 20:23,11/14/2023 (Tuesday),Weekday,20:23:49,Evening,1726,1384,1033,4029,1918,141.75,62,Senior Adults,Female,Cook Islands,Oceania,personal,,Mixed,25e8265e-7dae-4be4-89c5-5b571f2767dd
2633,Twitter,c1445eb2-e0c1-4143-8544-3e654536b09a,Video,Simply poor argue high indicate grow toward environment.,6/30/2023 14:47,6/30/2023 (Friday),Weekday,14:47:02,Afternoon,1711,1945,1666,4885,4488,18.07,44,Mature Adults,Female,Tajikistan,Asia,believe,,Positive,
2635,Twitter,8b41900f-48bd-4d6a-b30b-973aa2fd1a5a,Image,Some effect professional stop whatever.,5/13/2023 2:11,5/13/2023 (Saturday),Weekend,2:11:35,Night,1611,1422,1495,3868,4661,18.68,28,Adolescent Adults,Female,Aruba,NorthAmerica,prevent,,Mixed,
2638,LinkedIn,03a1ea95-e7a8-41f8-9973-f80ef7297ff2,Image,Might war firm policy.,4/7/2022 9:37,4/7/2022 (Thursday),Weekday,9:37:44,Morning,1393,747,629,1745,1600,115.36,24,Adolescent Adults,Female,Aruba,NorthAmerica,interesting,,Positive,
2640,Instagram,b932831a-cbe8-44c3-9655-7f22fdbe3a29,Video,Citizen pull course message consider thus.,5/7/2021 17:56,5/7/2021 (Friday),Weekday,17:56:06,Afternoon,1530,1754,1325,1999,2667,51.87,21,Adolescent Adults,Male,Brazil,SouthAmerica,item,,Mixed,
2647,LinkedIn,a2c277ef-a439-4846-bd0b-326fb1002364,Link,Own heavy anything parent response strong current rest.,10/5/2021 10:15,10/5/2021 (Tuesday),Weekday,10:15:07,Morning,811,112,263,3497,2267,40.89,50,Senior Adults,Other,Bhutan,Asia,our,,Mixed,
2650,Twitter,0938f811-7d5b-4f57-af2c-58a944e27d75,Video,Left fill those area example yeah.,12/19/2023 18:42,12/19/2023 (Tuesday),Weekday,18:42:43,Evening,2313,2056,1720,3068,4472,44.88,64,Senior Adults,Other,Anguilla,NorthAmerica,able,,Mixed,
2651,Instagram,435e2b02-e346-43c9-b015-744136a7adc3,Link,Stay once respond.,10/17/2023 9:45,10/17/2023 (Tuesday),Weekday,9:45:35,Morning,1307,1044,652,2065,1659,113.6,20,Adolescent Adults,Other,Korea,Asia,dark,28e6a846-8921-4195-8e21-62aa9e14cbbb,Negative,
2653,Facebook,22db6a46-f594-4274-9c39-24d839e7f94b,Image,Well ready whose part.,4/26/2022 1:32,4/26/2022 (Tuesday),Weekday,1:32:13,Night,1225,920,800,4643,5013,25.95,36,Mature Adults,Female,Dominica,NorthAmerica,rich,0e7165f9-0fe1-455e-99c3-df281565686e,Mixed,
2654,Instagram,4601f6f4-58c9-49e4-96c7-9d275167e3b4,Link,Arm meeting open everybody.,10/14/2021 9:58,10/14/2021 (Thursday),Weekday,9:58:32,Morning,739,804,741,2311,1639,46.58,31,Mature Adults,Female,Korea,Asia,training,,Neutral,
2656,Instagram,aa04fa44-fbe1-4cf7-9d90-d63f87303b8a,Video,Avoid stop task work.,5/1/2023 1:11,5/1/2023 (Monday),Weekday,1:11:21,Night,2280,1496,1314,4621,4874,33.3,33,Mature Adults,Male,Bermuda,NorthAmerica,prepare,,Mixed,
2661,LinkedIn,f1c6aecd-f0b5-4a4e-92c3-7932827d903f,Image,Account your defense air put early.,1/17/2023 16:42,1/17/2023 (Tuesday),Weekday,16:42:40,Afternoon,945,802,561,4840,2567,39.09,48,Senior Adults,Other,Guinea,Africa,artist,,Mixed,
2662,LinkedIn,2497ebb6-e24c-467a-86f9-0f536af35a27,Image,Right machine tough people full process event.,5/8/2021 17:30,5/8/2021 (Saturday),Weekend,17:30:28,Afternoon,575,563,613,2794,2508,12.5,52,Senior Adults,Female,Papua New Guinea,Oceania,poor,,Mixed,
2664,Twitter,bfcdd343-f2b9-4a2e-9872-c1b17de8d745,Video,Article guy organization say resource water.,3/23/2023 0:11,3/23/2023 (Thursday),Weekday,0:11:53,Night,1619,1676,1724,1519,2670,20.47,50,Senior Adults,Female,Kazakhstan,Asia,president,d1f1511c-fa19-4bc1-a784-b69be6961d14,Neutral,
2665,LinkedIn,152079d6-0f17-4406-8ae8-818d2ff13725,Image,General news blood television book impact.,3/4/2023 4:23,3/4/2023 (Saturday),Weekend,4:23:02,Night,533,815,501,4901,2576,16.81,39,Mature Adults,Other,Maldives,Asia,kitchen,,Mixed,
2667,Twitter,eb17bc47-53e1-46d2-936f-a71bb9f1f623,Video,Economic establish political camera practice possible late.,6/13/2021 0:47,6/13/2021 (Sunday),Weekend,0:47:15,Night,2401,1944,1627,3966,4445,41.2,64,Senior Adults,Male,South Africa,Africa,sound,,Neutral,
2669,Instagram,60f71aa7-7abb-47cf-930e-437cabe6a803,Image,Time part run just wide imagine bill.,2/17/2022 4:50,2/17/2022 (Thursday),Weekday,4:50:30,Night,1005,1121,1026,1934,2063,14.3,38,Mature Adults,Male,Bahrain,Asia,job,,Mixed,
2670,Twitter,d5a681ac-e303-442c-8078-dfc4fdfc6cc7,Video,Push listen piece protect.,3/14/2022 14:05,3/14/2022 (Monday),Weekday,14:05:42,Afternoon,2320,1728,1745,4941,3315,57.9,60,Senior Adults,Female,Tokelau,Oceania,modern,,Mixed,
2674,LinkedIn,9ecf8f95-7c39-4ce8-a3e7-30a7e1feb90a,Image,Difference wear son tree career late.,3/7/2023 2:05,3/7/2023 (Tuesday),Weekday,2:05:54,Night,1192,973,552,3937,2956,49.55,35,Mature Adults,Female,Swaziland,Africa,late,5cbb2d1d-bda0-4a93-8f9c-486a90b370cb,Mixed,
2678,Facebook,92554fc7-d9b8-4243-a6dd-ea105cc113a3,Link,Agency sense there pretty.,5/4/2022 22:45,5/4/2022 (Wednesday),Weekday,22:45:34,Night,553,266,208,3238,1764,27.3,37,Mature Adults,Male,Romania,Europe,such,,Mixed,4723f5f4-e842-4fa7-a7b0-23373c3d11e4
2679,Twitter,1b11bc41-89a8-4a54-b3d3-76f72b28beed,Link,Beat book fine strategy trial draw.,3/1/2023 3:17,3/1/2023 (Wednesday),Weekday,3:17:28,Night,1346,935,1065,2324,2423,42.42,18,Adolescent Adults,Male,Uganda,Africa,early,,Positive,
2681,Instagram,c9058107-d842-468f-8172-00b17557179a,Image,Case issue provide provide practice hope idea.,6/16/2022 2:55,6/16/2022 (Thursday),Weekday,2:55:00,Night,1087,1435,1002,4290,4192,16.42,29,Adolescent Adults,Female,Russian Federation,Europe,who,,Mixed,aed97a5e-5b25-42f1-bad4-4d536387092d
2682,LinkedIn,6a586d85-98a9-46ae-bce1-37f6c7e302b0,Link,Sort her situation model little show.,2/22/2022 17:36,2/22/2022 (Tuesday),Weekday,17:36:41,Afternoon,771,412,184,2440,2403,46.33,54,Senior Adults,Male,Papua New Guinea,Oceania,treat,,Mixed,
2684,Twitter,3af3a79a-3e6c-4c3a-b99b-af67bb899bdb,Link,As part case soldier goal relate.,4/28/2023 6:03,4/28/2023 (Friday),Weekday,6:03:29,Morning,1363,917,938,4053,2351,35.7,37,Mature Adults,Other,Christmas Island,Oceania,center,,Positive,
2689,Twitter,f437507b-dacd-4286-bd05-d55724b030c0,Image,Read partner million commercial best.,10/8/2021 15:16,10/8/2021 (Friday),Weekday,15:16:42,Afternoon,1863,1691,1457,2305,2972,66.45,43,Mature Adults,Female,Vanuatu,Oceania,direction,f741615c-af91-4597-83e3-b6deb200a25c,Mixed,
2690,LinkedIn,07d875af-000a-470f-bc21-982ad0c215d2,Video,Threat despite back price.,3/22/2022 10:12,3/22/2022 (Tuesday),Weekday,10:12:50,Morning,1004,1275,844,3675,3551,26.28,37,Mature Adults,Other,Rwanda,Africa,main,0890adb4-ae3f-452a-9245-fe0f7e1d7acf,Mixed,1551471b-a78b-4711-a1e3-9977c04c2c38
2693,Twitter,35e7b20c-cc72-4042-b981-eafc4931d3f9,Link,Mean industry may people standard late.,12/7/2023 8:12,12/7/2023 (Thursday),Weekday,8:12:12,Morning,1528,1134,998,2705,3032,45.03,49,Senior Adults,Female,Martinique,NorthAmerica,red,,Neutral,
2695,Instagram,52082518-002d-4700-82d4-59bbb3edddd3,Link,Experience bank likely.,8/23/2022 10:39,8/23/2022 (Tuesday),Weekday,10:39:28,Morning,1351,919,600,4631,4358,28.47,24,Adolescent Adults,Male,Cambodia,Asia,fear,,Neutral,
2696,Instagram,01129155-1bda-44f2-ab02-23b909d227b6,Link,Sing likely medical low.,2/14/2022 17:24,2/14/2022 (Monday),Weekday,17:24:52,Afternoon,850,622,760,4642,4021,12.63,61,Senior Adults,Female,Argentina,SouthAmerica,hand,,Mixed,
2698,LinkedIn,32a532ee-25c5-4563-ab35-4bde63cba6e5,Link,Garden official during lawyer phone good society.,4/7/2022 17:42,4/7/2022 (Thursday),Weekday,17:42:48,Afternoon,401,134,198,3783,3646,12.21,35,Mature Adults,Other,Central African Republic,Africa,pick,,Mixed,
2699,Instagram,d916017d-6119-45ca-bb0b-95ae2e47ed8a,Link,Bring usually social.,10/5/2022 19:44,10/5/2022 (Wednesday),Weekday,19:44:48,Evening,1202,872,798,4576,1778,91.0,63,Senior Adults,Male,Lesotho,Africa,economic,,Mixed,
2701,LinkedIn,82a8e010-6d37-4c02-8a1b-a4ee12c9a2b9,Image,Pm be none go teach threat model.,12/29/2021 19:27,12/29/2021 (Wednesday),Weekday,19:27:23,Evening,1383,938,598,3026,1890,102.09,40,Mature Adults,Other,Taiwan,Asia,production,,Positive,d1c00f46-232c-4ab0-90a6-822ae8176d85
2702,LinkedIn,2ed2779f-cfbe-439a-92a4-f70bc30d217d,Video,In new send avoid always fast.,6/11/2023 4:37,6/11/2023 (Sunday),Weekend,4:37:32,Night,1669,850,998,4959,3855,36.56,29,Adolescent Adults,Other,Guyana,SouthAmerica,medical,,Mixed,112ef78b-2eb0-4a91-8502-cd076836c8e2
2705,Facebook,ec517d6b-6b38-4ea6-a9f6-1a3c5aef8c2c,Video,Grow down pay.,1/13/2022 23:37,1/13/2022 (Thursday),Weekday,23:37:44,Night,1449,1388,988,2581,2579,67.0,21,Adolescent Adults,Other,Senegal,Africa,teacher,,Mixed,
2706,LinkedIn,2eee07d6-b78e-4355-bffd-63647384c2c4,Video,Certainly laugh story design.,5/13/2023 5:51,5/13/2023 (Saturday),Weekend,5:51:11,Night,1254,849,871,4264,5051,13.5,18,Adolescent Adults,Other,Belgium,Europe,seven,,Mixed,
2707,LinkedIn,81ff71ac-093a-4b31-8c75-232911165d6c,Video,Four forward interest successful art mention.,8/28/2023 3:40,8/28/2023 (Monday),Weekday,3:40:32,Night,1044,1187,999,2779,2619,45.63,56,Senior Adults,Other,Vanuatu,Oceania,process,,Mixed,
2720,LinkedIn,7238fb51-fb82-4255-94aa-0b33ba2424c7,Video,Table pressure apply do Republican marriage.,8/24/2022 12:09,8/24/2022 (Wednesday),Weekday,12:09:08,Afternoon,1077,910,968,3477,2795,27.82,37,Mature Adults,Female,China,Asia,class,,Positive,
2722,LinkedIn,9b2137a2-1af2-4ad9-9196-10ef5b0ca803,Link,Measure Mr seem beautiful reveal focus.,7/23/2022 14:14,7/23/2022 (Saturday),Weekend,14:14:55,Afternoon,1087,323,275,4371,1967,74.18,48,Senior Adults,Male,Lao People's Democratic Republic,Asia,claim,,Mixed,
2723,Twitter,eb8143e5-304f-4d86-9a84-936ae9bd4a73,Link,Glass cold half project case your.,6/24/2021 20:59,6/24/2021 (Thursday),Weekday,20:59:26,Evening,1156,1174,908,4014,4517,14.87,30,Adolescent Adults,Other,Algeria,Africa,learn,,Neutral,
2724,Facebook,cbaa7981-c8d9-4cde-924d-cf007141293d,Link,Training news human next whether.,1/4/2024 20:39,1/4/2024 (Thursday),Weekday,20:39:05,Evening,1148,657,372,1416,1202,157.39,52,Senior Adults,Female,Congo,Africa,television,,Positive,
2727,Twitter,d73c5ca3-cc61-4615-802d-5a7a27512a03,Video,Family order long day sure.,12/14/2021 20:22,12/14/2021 (Tuesday),Weekday,20:22:56,Evening,2030,1657,1742,3656,4712,20.21,41,Mature Adults,Other,Micronesia,Oceania,possible,,Negative,
2731,Twitter,7a13ccb2-4e78-451f-9a70-466de4890322,Video,Fact walk eat could.,9/17/2022 1:37,9/17/2022 (Saturday),Weekend,1:37:52,Night,2345,1887,1774,4847,4990,35.58,56,Senior Adults,Male,Greenland,NorthAmerica,whose,e361e86e-11b1-4e34-b708-478b4e4bdbf5,Positive,
2732,LinkedIn,0fd3d00d-103b-4636-bc5f-840fd53912d0,Image,Human party writer economy particular rock.,6/13/2021 19:30,6/13/2021 (Sunday),Weekend,19:30:20,Evening,940,503,677,2741,2266,35.11,64,Senior Adults,Female,Greenland,NorthAmerica,who,,Positive,
2735,LinkedIn,5945c851-b689-4ca3-96af-8e9a0aec45af,Video,Congress grow newspaper office sea blue assume home.,7/11/2021 7:51,7/11/2021 (Sunday),Weekend,7:51:04,Morning,1249,1256,821,4919,1908,83.57,62,Senior Adults,Male,Bolivia,SouthAmerica,voice,a90fa1ec-ccf1-418f-8f15-287cd1b0ec70,Mixed,
2737,Instagram,0365f6a8-c43b-4cda-90fc-c2d4cf7c4448,Image,Cell town fast tax trip purpose without.,1/21/2022 8:17,1/21/2022 (Friday),Weekday,8:17:44,Morning,1729,1346,1172,2470,2207,103.31,33,Mature Adults,Female,Greenland,NorthAmerica,defense,,Mixed,
2739,Facebook,66d1be34-1f77-40df-828c-cfdac34985b0,Link,Would know as take student Congress board.,7/31/2023 2:00,7/31/2023 (Monday),Weekday,2:00:37,Night,246,606,400,4171,2688,26.21,51,Senior Adults,Female,Spain,Europe,stop,,Mixed,
2740,Instagram,bdacbcd2-da03-42b5-970d-8fe0f5050c90,Image,Class develop fly rock entire in article.,3/31/2023 7:44,3/31/2023 (Friday),Weekday,7:44:02,Morning,1606,1493,1061,2826,3271,51.08,53,Senior Adults,Male,Georgia,Asia,story,,Negative,
2746,Twitter,3766adf7-3679-41d9-83f8-f92989c506ec,Link,Have she player material commercial conference gun.,7/28/2023 10:06,7/28/2023 (Friday),Weekday,10:06:28,Morning,1386,1104,1088,3102,3831,29.96,52,Senior Adults,Female,Western Sahara,Africa,help,,Mixed,
2747,Facebook,51ac74f9-914d-4965-b4b7-16f8a677cfea,Image,Catch current majority movie one.,2/16/2022 11:55,2/16/2022 (Wednesday),Weekday,11:55:59,Morning,1407,646,745,4263,2605,49.78,21,Adolescent Adults,Female,Northern Mariana Islands,Oceania,trip,,Mixed,
2753,Facebook,e8b99608-ed3c-4c84-989c-5a9399258a17,Image,They public person.,11/4/2022 11:52,11/4/2022 (Friday),Weekday,11:52:51,Morning,913,669,789,4735,5076,12.76,46,Senior Adults,Female,Northern Mariana Islands,Oceania,pattern,,Positive,
2758,LinkedIn,f38e6f52-e46a-4f1e-8d93-0fcdc9f03627,Image,Human heart cultural establish material anything.,5/20/2023 2:03,5/20/2023 (Saturday),Weekend,2:03:53,Night,706,981,635,4273,2952,33.52,52,Senior Adults,Other,Andorra,Europe,big,,Positive,
2762,Twitter,17050641-18d0-4d45-a6bd-ed5b647be3de,Link,Media often case stay fight race long.,9/21/2023 12:35,9/21/2023 (Thursday),Weekday,12:35:09,Afternoon,1166,953,1089,4448,3428,20.09,63,Senior Adults,Other,Uzbekistan,Asia,policy,,Neutral,
2765,Instagram,0ced713e-9373-4062-806e-3b9d34782cb3,Link,Be big likely seek night book light music.,3/13/2021 3:01,3/13/2021 (Saturday),Weekend,3:01:53,Night,1585,733,751,3108,1797,106.02,51,Senior Adults,Male,Ireland,Europe,result,,Neutral,
2766,LinkedIn,fd36766a-dd63-4d51-8089-f41e597d5cf9,Link,Civil matter number specific minute top.,3/13/2023 2:58,3/13/2023 (Monday),Weekday,2:58:13,Night,773,487,167,4213,3902,29.64,46,Senior Adults,Other,Burkina Faso,Africa,yeah,,Positive,
2767,Instagram,3a148bfd-941e-4c76-8fd7-449975caf2b1,Link,Task relate brother born sure pressure bank.,12/8/2021 23:18,12/8/2021 (Wednesday),Weekday,23:18:31,Night,934,796,672,3142,3634,19.84,40,Mature Adults,Male,Libyan Arab Jamahiriya,Africa,ask,,Mixed,
2769,Instagram,318c5853-ce00-4edf-9780-bd43d242518d,Video,Alone including stop star information page board.,12/8/2023 19:48,12/8/2023 (Friday),Weekday,19:48:36,Evening,1492,1652,1302,3772,2545,43.86,48,Senior Adults,Other,Timor-Leste,Asia,same,,Mixed,
2771,LinkedIn,91e71a88-c298-4724-b5ff-9903587bf37c,Image,Beautiful future thousand lose scene condition money.,2/11/2022 13:09,2/11/2022 (Friday),Weekday,13:09:55,Afternoon,1220,726,563,3657,2460,51.48,59,Senior Adults,Female,Bolivia,SouthAmerica,continue,,Mixed,
2772,Instagram,9f281cd8-575a-4c6e-822e-b83c381bab5a,Image,Interest nation significant truth thing discover.,3/2/2024 13:06,3/2/2024 (Saturday),Weekend,13:06:56,Afternoon,1100,1287,1095,1723,2276,37.77,25,Adolescent Adults,Male,Libyan Arab Jamahiriya,Africa,meeting,,Mixed,
2774,Facebook,949247f0-957c-49a9-b9a9-2adc8237b07a,Image,Blood economy late challenge able member.,12/27/2023 17:04,12/27/2023 (Wednesday),Weekday,17:04:06,Afternoon,1532,605,800,4574,2950,48.38,28,Adolescent Adults,Other,Brunei Darussalam,Asia,standard,,Mixed,
2775,LinkedIn,1e74b3df-7214-4af4-a680-43164c840d25,Link,Available draw people trial sure picture son.,2/25/2023 1:03,2/25/2023 (Saturday),Weekend,1:03:55,Night,741,493,254,4032,1610,78.68,24,Adolescent Adults,Other,Andorra,Europe,eat,,Positive,
2778,Facebook,bec8de3d-30dc-4ad6-acb4-14712c64e8b3,Link,No camera yourself car accept.,4/11/2023 7:28,4/11/2023 (Tuesday),Weekday,7:28:19,Morning,1026,474,304,4580,4702,26.74,61,Senior Adults,Male,Palestinian Territory,Asia,gas,,Mixed,
2782,Twitter,868c660f-caec-4ff0-9e78-fe12a72b52d1,Link,Trouble return experience clearly there something.,2/26/2022 0:05,2/26/2022 (Saturday),Weekend,0:05:31,Night,1205,1219,907,3792,2536,38.57,61,Senior Adults,Female,Haiti,NorthAmerica,PM,,Mixed,
2783,Twitter,8af4992d-0e1a-47d7-9801-4d9f69650619,Image,Approach action thought body issue order.,10/16/2021 20:18,10/16/2021 (Saturday),Weekend,20:18:56,Evening,1406,1758,1492,3379,4144,26.58,42,Mature Adults,Female,Bulgaria,Europe,unit,8b77e519-7ab0-42ec-a227-c836ecc86057,Mixed,
2785,LinkedIn,2217a0f5-f20c-4c36-aea8-fac8679cb28c,Video,Bag product town amount dinner police whole soon.,6/18/2021 22:15,6/18/2021 (Friday),Weekday,22:15:07,Night,1244,1227,958,1312,2023,84.14,28,Adolescent Adults,Other,Taiwan,Asia,purpose,,Mixed,
2787,LinkedIn,8cebb930-674e-491b-8113-2fbdd145d903,Video,Point wear lot someone society police.,10/20/2023 22:20,10/20/2023 (Friday),Weekday,22:20:20,Night,1685,1275,921,3854,2563,84.0,54,Senior Adults,Female,Ecuador,SouthAmerica,management,,Positive,
2788,Facebook,5291f492-4f57-4401-a2e6-e663bf63b99a,Link,Either able common themselves including official rest development.,1/29/2023 16:05,1/29/2023 (Sunday),Weekend,16:05:46,Afternoon,290,524,268,3006,2841,18.25,22,Adolescent Adults,Male,Martinique,NorthAmerica,receive,c5b34b0d-b3aa-4b7d-9440-67ff2f65530c,Positive,
2789,Instagram,a05c247f-fcdf-4b62-9a7b-96cd78ff1076,Video,Eye fact traditional one state social letter.,10/13/2023 11:40,10/13/2023 (Friday),Weekday,11:40:44,Morning,1437,1530,1499,4004,4055,20.54,48,Senior Adults,Male,Tuvalu,Oceania,remember,,Neutral,
2794,Instagram,93817c1c-2dec-488c-810f-ab7bd58eb17e,Image,State ask throw either serve onto we.,3/11/2022 2:31,3/11/2022 (Friday),Weekday,2:31:34,Night,1677,1404,1161,4633,3405,51.64,20,Adolescent Adults,Male,Gibraltar,Europe,yet,1c78aaa8-e558-474b-837f-a1b88e0c6ec3,Mixed,
2798,Facebook,82c69f9e-71cf-408d-90db-0f9f53b65fa3,Video,Deal create task behavior.,1/22/2024 13:12,1/22/2024 (Monday),Weekday,13:12:57,Afternoon,1383,940,910,3140,2134,43.19,65,Senior Adults,Male,Costa Rica,NorthAmerica,bag,,Mixed,
2800,LinkedIn,bfe99408-cfd7-4350-8465-0d71dbfe6b56,Video,Old trouble happy guess light author.,8/17/2023 22:31,8/17/2023 (Thursday),Weekday,22:31:25,Night,953,1084,922,3704,4112,16.88,64,Senior Adults,Male,Faroe Islands,Europe,play,,Mixed,
2801,Twitter,2a76c58e-78df-4a1c-b2e6-337d531bf0bb,Video,Level huge discover anyone daughter.,3/11/2022 20:04,3/11/2022 (Friday),Weekday,20:04:47,Evening,1656,1669,1608,1964,3474,7.1,19,Adolescent Adults,Other,Turkmenistan,Asia,up,6e2721c6-4edd-43b7-88d3-5f9658c68869,Negative,
2803,LinkedIn,31af2c7b-b7ef-4950-9404-806c2a88a9c5,Video,Cold drive among high.,2/10/2022 9:59,2/10/2022 (Thursday),Weekday,9:59:13,Morning,1103,1097,871,3042,2168,49.05,30,Adolescent Adults,Male,Uganda,Africa,church,,Neutral,
2806,Facebook,7fa8f967-cd2e-429c-9679-7c053d37d822,Video,Not rock goal leave bed imagine dog.,2/7/2022 2:46,2/7/2022 (Monday),Weekday,2:46:23,Night,1288,1072,900,4638,2509,34.8,35,Mature Adults,Male,Cyprus,Asia,quite,,Mixed,
2810,LinkedIn,a79705bb-3fce-4a84-860a-53da2be7d767,Link,Always describe even trouble.,7/6/2023 5:00,7/6/2023 (Thursday),Weekday,5:00:28,Night,955,171,295,3640,2862,40.59,45,Mature Adults,Male,Namibia,Africa,part,,Positive,
2811,Instagram,0d05e5ae-d8a2-453c-8f36-ae1eb22c4685,Link,Realize determine bed.,5/8/2021 14:41,5/8/2021 (Saturday),Weekend,14:41:45,Afternoon,1247,682,605,4461,2711,34.77,54,Senior Adults,Female,Saudi Arabia,Asia,first,,Negative,
2813,LinkedIn,54753e78-0f99-4257-97a9-a343c13cf466,Video,Themselves watch these bar machine claim growth.,11/27/2021 11:55,11/27/2021 (Saturday),Weekend,11:55:07,Morning,1231,852,815,4097,2704,26.16,25,Adolescent Adults,Other,San Marino,Europe,happen,,Positive,
2815,Facebook,07fd629c-21d2-498c-88fb-405c3b8a6a73,Link,White risk family available coach everybody sing.,4/27/2021 19:57,4/27/2021 (Tuesday),Weekday,19:57:26,Evening,720,487,277,3698,2597,36.88,33,Mature Adults,Female,Comoros,Africa,head,,Positive,
2817,Instagram,241e7ee3-81a3-4533-8922-b66b7b1ab10d,Image,End television across than necessary later.,10/1/2023 23:39,10/1/2023 (Sunday),Weekend,23:39:36,Night,1423,1196,1117,3725,4714,19.82,58,Senior Adults,Female,Nicaragua,NorthAmerica,able,,Mixed,
2820,Instagram,5504f5e4-5643-4aea-84a3-eb0894267a42,Image,Sometimes goal must point security.,2/14/2023 14:46,2/14/2023 (Tuesday),Weekday,14:46:29,Afternoon,1932,1168,1104,3411,3100,57.33,20,Adolescent Adults,Other,Syrian Arab Republic,Asia,recognize,,Negative,
2822,Twitter,85851cc8-ce2b-43cb-b290-e35f54553294,Image,Benefit bank approach spring energy go job four.,10/11/2021 23:13,10/11/2021 (Monday),Weekday,23:13:57,Night,1364,1541,1321,4525,5715,7.38,62,Senior Adults,Other,Tanzania,Africa,yourself,,Mixed,56117e1d-f03b-4f7b-8256-5f95ba6f7663
